mass_msun,snr_full_window,ratio_true_at_t0,start_M,trials,strong_fraction_dBIC_gt_10,positive_fraction_dBIC_gt_0,median_delta_bic,p10_delta_bic,p90_delta_bic,median_ratio_rec
30.0,20.0,0.02,10.0,100,0.0,0.0,-12.948833235154659,-13.986463823310708,-10.569901320860315,0.060819543413235285
30.0,20.0,0.02,20.0,100,0.0,0.0,-12.736812364546146,-13.925341766812055,-9.565604030224119,0.06329532437444494
30.0,20.0,0.05,0.0,100,0.0,0.0,-12.475393443137963,-13.916324350689476,-7.988465028508308,0.06902302272272315
30.0,20.0,0.05,10.0,100,0.0,0.0,-12.54761395632955,-13.95915045004361,-8.398099083357042,0.07149867831670533
30.0,20.0,0.05,20.0,100,0.0,0.0,-12.40987238336698,-13.852964677640207,-7.9888891644353315,0.07585858209342899
30.0,20.0,0.1,0.0,100,0.03,0.11,-7.262856582883593,-12.744385467201534,2.9348194427947256,0.10528647150037337
30.0,20.0,0.1,10.0,100,0.01,0.08,-8.328211058686887,-12.945017130510124,0.2801662637203043,0.10369454399965654
30.0,20.0,0.1,20.0,100,0.02,0.08,-8.863933205263743,-13.18969035403979,0.7533778886589007,0.1060573118987264
30.0,20.0,0.2,0.0,100,0.32,0.69,3.687733123357778,-6.857914092380705,19.6468581400505,0.20235796019979587
30.0,20.0,0.2,10.0,100,0.29,0.65,2.1957839364042037,-8.700215956673744,17.240598347993754,0.20069983790344695
30.0,20.0,0.2,20.0,100,0.25,0.64,1.2901481695031192,-9.234298233370965,16.608396686863717,0.20019215051142294
30.0,20.0,0.3,0.0,100,0.77,0.96,24.99803090451673,-0.3079908846390447,49.01380122963691,0.2999637182573766
30.0,20.0,0.3,10.0,100,0.73,0.95,21.08389975099386,-1.8788602205237466,45.50705652146139,0.3002022343850838
30.0,20.0,0.3,20.0,100,0.7,0.94,18.904826567232626,-3.900528835043204,42.14937415545439,0.30170435729779315
30.0,30.0,0.0,0.0,100,0.0,0.0,-12.515684126227484,-13.978112085633117,-9.160361346430976,0.03815463591646125
30.0,30.0,0.0,10.0,100,0.0,0.0,-12.64810196044482,-13.971965575550143,-9.475031772560919,0.03942221829096174
30.0,30.0,0.0,20.0,100,0.0,0.0,-12.148810221085341,-13.907301223083509,-8.643139257511907,0.04109000566191076
30.0,30.0,0.02,0.0,100,0.0,0.0,-12.389147423705681,-13.986514350695182,-8.227340767702308,0.04084893768867675
30.0,30.0,0.02,10.0,100,0.0,0.0,-12.340337656210059,-13.991783390746943,-8.11871744181489,0.04134039591622032
30.0,30.0,0.02,20.0,100,0.0,0.0,-12.240415864257787,-13.914360564287966,-8.186450819971017,0.04144851511537358
30.0,30.0,0.05,0.0,100,0.0,0.01,-10.555935506722619,-13.530708581564753,-3.1891494241825266,0.05667949854247753
30.0,30.0,0.05,10.0,100,0.0,0.01,-10.601280261372833,-13.567471398186265,-3.4560308178825272,0.05633832418794059
30.0,30.0,0.05,20.0,100,0.0,0.01,-10.72826194276244,-13.566643430723206,-3.728597253409187,0.05424815026295657
30.0,30.0,0.1,0.0,100,0.09,0.41,-1.826893992200735,-10.320987300398606,9.28300713337313,0.09923796678100984
30.0,30.0,0.1,10.0,100,0.06,0.39,-2.801397871454911,-11.20492482674212,7.4324968526400215,0.10183702784153218
30.0,30.0,0.1,20.0,100,0.04,0.37,-3.613317255344339,-11.4004638814379,6.3146143649810615,0.10175644098891999
30.0,30.0,0.2,0.0,100,0.8,0.99,31.87095350345809,6.262327493395295,52.4494310590425,0.19918257605334242
30.0,30.0,0.2,10.0,100,0.76,0.98,27.60997198352458,3.4317389659019633,47.07478269759705,0.20048135691697002
30.0,30.0,0.2,20.0,100,0.77,0.98,25.075158005135255,2.128068317020234,44.44438076993904,0.199680835707922
30.0,30.0,0.3,0.0,100,0.96,1.0,76.45731672364447,44.08436630725471,109.98446864270595,0.30077440144999994
30.0,30.0,0.3,10.0,100,0.95,1.0,64.6515472322802,36.54104213634932,94.01345570469204,0.3019001626696515
30.0,30.0,0.3,20.0,100,0.93,1.0,57.822361548859505,32.218323252938675,85.3762622903682,0.2998336075488698
30.0,40.0,0.0,0.0,100,0.0,0.0,-12.715047584597983,-13.906081082611445,-9.83023265714262,0.027962890100731867
30.0,40.0,0.0,10.0,100,0.0,0.0,-12.763074107155035,-13.95263302180138,-9.915268827140688,0.03082549834035696
30.0,40.0,0.0,20.0,100,0.0,0.0,-12.858530583856123,-13.963306002237422,-9.879882243550303,0.03146597357160325
30.0,40.0,0.02,0.0,100,0.0,0.0,-12.489179911523886,-13.84767057850762,-8.402163834647272,0.03242675070605749
30.0,40.0,0.02,10.0,100,0.0,0.0,-12.396925689623628,-13.892216360541856,-8.083009949483577,0.034591354530255626
30.0,40.0,0.02,20.0,100,0.0,0.0,-12.411315037095954,-13.830567819776562,-8.122160014916209,0.0351211820892405
30.0,40.0,0.05,0.0,100,0.0,0.03,-7.987750890393127,-12.828865268059243,-0.6654117506334372,0.05173903153786914
30.0,40.0,0.05,10.0,100,0.0,0.03,-8.507683663234945,-12.928999446982196,-1.1438384561475305,0.05104049308593241
30.0,40.0,0.05,20.0,100,0.0,0.03,-8.884616450511412,-12.98539551594668,-1.8632145011878906,0.05136114260462665
30.0,40.0,0.1,0.0,100,0.25,0.8,5.850922869539944,-5.156431824956834,17.262899403837688,0.10081282074847129
30.0,40.0,0.1,10.0,100,0.21,0.73,4.076290901648083,-6.812621470855028,16.09348717847164,0.10102168501785615
30.0,40.0,0.1,20.0,100,0.16,0.7,3.346255334708926,-7.389719362441333,14.171521456479372,0.10019143509334114
30.0,40.0,0.2,0.0,100,0.98,1.0,66.2182466553584,37.22993093810564,91.2317847727928,0.20076879837182217
30.0,40.0,0.2,10.0,100,0.98,1.0,54.28570209933526,28.37440996101259,78.54596589169583,0.20049862730443268
30.0,40.0,0.2,20.0,100,0.98,1.0,49.861448669185016,25.183616196666428,72.02810065646323,0.20157886986046237
30.0,40.0,0.3,0.0,100,1.0,1.0,137.78638314955466,98.77285080866199,178.6049615617227,0.2998954568908534
30.0,40.0,0.3,10.0,100,1.0,1.0,114.5690596550214,78.31621664973323,150.50291972219484,0.29915640309027004
30.0,40.0,0.3,20.0,100,1.0,1.0,102.16727045422197,67.81069515277275,134.7916568885515,0.2988609274547407
60.0,12.0,0.0,0.0,100,0.0,0.0,-12.498189014385161,-13.920717286187344,-8.619304463572356,0.08484425795453826
60.0,12.0,0.0,10.0,100,0.0,0.0,-12.810580515859101,-13.911635068552747,-9.157563413219091,0.08597754302427953
60.0,12.0,0.0,20.0,100,0.0,0.0,-12.603283973548287,-13.89520336108354,-9.162061474767782,0.09649580661206955
60.0,12.0,0.02,0.0,100,0.0,0.0,-12.57617178820059,-13.87650258084036,-8.247294644089397,0.08496681175511967
60.0,12.0,0.02,10.0,100,0.0,0.0,-12.635697832138762,-13.887686058066417,-8.290281578155345,0.08933261543138197
60.0,12.0,0.02,20.0,100,0.0,0.0,-12.662272135980039,-13.878932711744783,-8.718086198185233,0.09674606809057861
60.0,12.0,0.05,0.0,100,0.0,0.0,-11.655202348766098,-13.700199241114484,-6.634949312518061,0.09723545036100726
60.0,12.0,0.05,10.0,100,0.0,0.0,-11.647856358508377,-13.678693096519742,-6.486935515398748,0.09928546756447232
60.0,12.0,0.05,20.0,100,0.0,0.0,-11.554842301014591,-13.649867778532302,-6.592911690339225,0.10271628109832803
60.0,12.0,0.1,0.0,100,0.0,0.0,-10.03753465695074,-13.27245775186852,-3.369201595698855,0.11557569936189994
60.0,12.0,0.1,10.0,100,0.0,0.0,-9.913936998865991,-13.259426954924998,-3.1338071639793794,0.11756582319149369
60.0,12.0,0.1,20.0,100,0.0,0.0,-9.739140574097993,-13.134346532448248,-3.2983544262184815,0.11863374693196285
60.0,12.0,0.2,0.0,100,0.1,0.41,-2.150321646516636,-10.901087348166541,10.01571457168926,0.20512472140975678
60.0,12.0,0.2,10.0,100,0.06,0.38,-2.840167029455434,-11.513434517253259,8.356133133981509,0.2055379548077407
60.0,12.0,0.2,20.0,100,0.04,0.34,-3.2419374237159137,-11.561633181571949,6.999078175343664,0.20572893981467593
60.0,12.0,0.3,0.0,100,0.45,0.76,6.617958534816877,-5.295823004240847,24.40102963578972,0.29701030559566834
60.0,12.0,0.3,10.0,100,0.37,0.68,3.6408907281359106,-6.884782841926245,20.225383547292223,0.2963024391628267
60.0,12.0,0.3,20.0,100,0.33,0.65,2.555328106619031,-7.179318932773275,17.29287469874627,0.2965022333149073
60.0,20.0,0.0,0.0,100,0.0,0.0,-12.935113272598073,-13.974898047071757,-9.851948483415328,0.05089602563423295
60.0,20.0,0.0,10.0,100,0.0,0.0,-12.477414955650943,-13.88961515708962,-8.487290595191582,0.057430032447519206
60.0,20.0,0.0,20.0,100,0.0,0.0,-12.699184779244774,-13.911512829110222,-9.375226969096353,0.05784458880434854
60.0,20.0,0.02,0.0,100,0.0,0.0,-12.396662742364943,-13.890317551289567,-8.297518497416085,0.05592916157888597
60.0,20.0,0.02,10.0,100,0.0,0.0,-12.430163676012865,-13.86800506071741,-8.32208185819361,0.05666371984096264
60.0,20.0,0.02,20.0,100,0.0,0.0,-12.424929067796426,-13.880334482184578,-8.258487331265662,0.06321753427337553
60.0,20.0,0.05,0.0,100,0.0,0.0,-10.511353119524484,-13.521129287914637,-3.828622118589317,0.07110504396299378
60.0,20.0,0.05,10.0,100,0.0,0.0,-10.66769003759595,-13.589975009808442,-4.35044723683082,0.0739379497517494
60.0,20.0,0.05,20.0,100,0.0,0.0,-10.617201126305606,-13.57149805811415,-4.511961962455435,0.07306489804551739
60.0,20.0,0.1,0.0,100,0.01,0.17,-5.549573435903073,-11.446272334524149,1.8629372255472485,0.10354542105281322
60.0,20.0,0.1,10.0,100,0.0,0.13,-6.442015202323408,-12.16719287084578,0.3565534505146869,0.10390267883414054
60.0,20.0,0.1,20.0,100,0.0,0.09,-7.184952607464786,-12.312339993988348,-0.5447761568039143,0.1040036360277171
60.0,20.0,0.2,0.0,100,0.58,0.92,12.94404963794435,0.25706962793124415,28.831557918061336,0.20181293050825138
60.0,20.0,0.2,10.0,100,0.51,0.88,10.346502903205822,-1.073036939395015,26.87162092469521,0.20265137304665673
